
4.70, 4.97, 9.86, 8.26, 0.00, 0.00, 0.02, 0.13, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.54, 4.82, 10.12, 8.39, 0.00, 0.00, 0.03, 0.13, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.49, 4.82, 10.13, 8.38, 0.00, 0.00, 0.03, 0.14, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.76, 5.10, 9.66, 8.07, 0.00, 0.00, 0.03, 0.14, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.91, 5.17, 9.73, 8.08, 0.00, 0.00, 0.02, 0.13, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.93, 5.23, 9.74, 8.05, 0.00, 0.00, 0.02, 0.13, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
5.10, 5.56, 9.56, 7.93, 0.00, 0.00, 0.02, 0.13, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
7.42, 7.72, 8.89, 6.41, 0.00, 0.00, 0.01, 0.07, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00
8.95, 8.69, 4.70, 2.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.98, 9.20, 3.47, 1.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.64, 8.76, 3.16, 1.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.41, 8.67, 2.93, 1.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.63, 8.79, 3.08, 1.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.72, 8.82, 3.07, 1.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.51, 8.42, 3.15, 1.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.92, 7.36, 3.14, 1.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.19, 6.34, 5.33, 4.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5.23, 5.19, 8.99, 7.06, 0.00, 0.00, 0.00, 0.06, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00
4.77, 5.06, 9.80, 8.11, 0.00, 0.00, 0.01, 0.12, 0.04, 0.01, 0.00, 0.00, 0.00, 0.00
4.49, 4.76, 9.47, 7.85, 0.00, 0.00, 0.01, 0.12, 0.04, 0.01, 0.01, 0.00, 0.00, 0.00
4.54, 4.82, 9.96, 7.99, 0.00, 0.00, 0.01, 0.14, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.52, 4.75, 9.93, 8.19, 0.00, 0.00, 0.01, 0.15, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.51, 4.83, 9.91, 8.15, 0.00, 0.00, 0.01, 0.15, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.52, 4.77, 9.76, 8.09, 0.00, 0.00, 0.01, 0.15, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.28, 4.64, 9.81, 8.07, 0.00, 0.00, 0.01, 0.16, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.43, 4.76, 9.33, 7.81, 0.00, 0.00, 0.01, 0.15, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.38, 4.70, 9.74, 8.07, 0.00, 0.00, 0.01, 0.16, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.44, 4.80, 9.82, 8.17, 0.00, 0.00, 0.02, 0.16, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.67, 5.00, 9.92, 8.19, 0.00, 0.00, 0.01, 0.17, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
4.40, 4.68, 9.83, 8.14, 0.00, 0.00, 0.02, 0.17, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.37, 4.72, 9.92, 8.24, 0.00, 0.00, 0.02, 0.17, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.52, 4.83, 9.87, 8.22, 0.00, 0.00, 0.02, 0.17, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.37, 4.72, 9.74, 7.96, 0.00, 0.00, 0.02, 0.17, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.45, 4.78, 9.43, 7.95, 0.00, 0.00, 0.02, 0.18, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.25, 4.56, 9.88, 8.16, 0.00, 0.00, 0.02, 0.18, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.20, 4.63, 9.57, 7.95, 0.00, 0.00, 0.02, 0.18, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
4.83, 5.55, 9.90, 8.12, 0.00, 0.00, 0.03, 0.18, 0.06, 0.01, 0.01, 0.00, 0.00, 0.00
7.16, 6.97, 5.94, 3.49, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.97, 8.48, 3.94, 1.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8.35, 8.13, 3.51, 1.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.97, 7.85, 3.09, 1.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.86, 8.00, 2.93, 1.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.75, 7.77, 2.96, 1.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7.78, 7.57, 2.95, 1.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6.58, 5.89, 3.32, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4.18, 4.15, 6.80, 6.52, 0.00, 0.00, 0.00, 0.05, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00
3.74, 3.95, 10.59, 9.25, 0.00, 0.00, 0.01, 0.17, 0.05, 0.01, 0.01, 0.00, 0.00, 0.00
3.73, 4.18, 10.60, 8.79, 0.00, 0.00, 0.02, 0.20, 0.05, 0.02, 0.01, 0.00, 0.00, 0.00
3.74, 4.03, 10.63, 8.88, 0.00, 0.00, 0.02, 0.20, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.69, 4.12, 10.31, 8.53, 0.00, 0.00, 0.02, 0.21, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.79, 4.22, 10.42, 8.64, 0.00, 0.00, 0.02, 0.21, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.94, 4.29, 10.14, 8.40, 0.00, 0.00, 0.02, 0.21, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.68, 4.10, 10.10, 8.39, 0.00, 0.00, 0.03, 0.21, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.75, 4.19, 10.17, 8.47, 0.00, 0.00, 0.03, 0.22, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
3.89, 4.33, 10.08, 8.40, 0.00, 0.00, 0.03, 0.22, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
4.02, 4.39, 9.93, 8.30, 0.00, 0.00, 0.03, 0.22, 0.06, 0.02, 0.01, 0.00, 0.00, 0.00
3.98, 4.39, 9.88, 8.20, 0.00, 0.00, 0.03, 0.21, 0.06, 0.02, 0.01, 0.00, 0.00, 0.00
3.73, 4.11, 9.91, 8.39, 0.00, 0.00, 0.03, 0.22, 0.06, 0.02, 0.01, 0.00, 0.00, 0.00
3.60, 4.08, 10.14, 8.50, 0.00, 0.00, 0.04, 0.22, 0.06, 0.02, 0.02, 0.00, 0.00, 0.00
